Voltage (V),Current (A),Capacity (mAh),T1(C),
3.469,-13.9992,14076.9,37.7,
3.4491,-14.0002,14115.8,37.7,
3.4273,-13.9989,14154.7,37.7,
3.403,-13.9992,14193.6,37.8,
3.3762,-13.9988,14232.5,37.8,
3.3457,-13.9993,14271.3,37.8,
3.3105,-13.9989,14310.2,37.9,
3.2687,-13.9991,14349.1,37.9,
3.2169,-13.999,14388,37.9,
3.1479,-13.9991,14426.9,38,
3.0209,-13.9992,14465.8,38,
2.9999,-13.9987,14469.5,38,
4.3226,-13.9987,0,34.9,
4.3001,-13.999,38.9,34.9,
4.2932,-13.999,77.8,34.9,
4.2883,-13.9992,116.7,34.9,
4.2842,-13.999,155.5,34.9,
4.2805,-13.9992,194.4,35,
4.277,-13.9999,233.3,35,
4.2736,-13.9991,272.2,35,
4.2702,-13.9995,311.1,35,
4.2669,-13.9993,350,35,
4.2637,-13.9988,388.9,35,
4.2604,-13.9994,427.8,35.1,
4.2572,-13.9994,466.6,35.1,
4.254,-13.9989,505.5,35.1,
4.2508,-13.9987,544.4,35.1,
4.2476,-13.9991,583.3,35.1,
4.2444,-13.9988,622.2,35.1,
4.2412,-13.999,661.1,35.2,
4.2381,-13.9989,700,35.2,
4.2349,-13.9998,738.9,35.2,
4.2317,-13.9988,777.7,35.2,
4.2286,-13.999,816.6,35.2,
4.2255,-14,855.5,35.2,
4.2222,-13.9998,894.4,35.2,
4.2191,-13.9999,933.3,35.2,
4.216,-13.9992,972.2,35.2,
4.2128,-13.9992,1011.1,35.2,
4.2096,-13.9999,1049.9,35.3,
4.2065,-13.999,1088.8,35.3,
4.2033,-13.9989,1127.7,35.3,
4.2003,-13.9993,1166.6,35.3,
4.197,-13.9998,1205.5,35.3,
4.1939,-14.0003,1244.4,35.3,
4.1908,-13.9988,1283.3,35.3,
4.1876,-13.9982,1322.2,35.3,
4.1845,-13.9981,1361,35.3,
4.1814,-13.9994,1399.9,35.4,
4.1782,-14.0001,1438.8,35.4,
4.1751,-13.9992,1477.7,35.4,
4.172,-13.9998,1516.6,35.4,
4.1689,-13.9989,1555.5,35.4,
4.1658,-14,1594.4,35.4,
4.1626,-13.9999,1633.3,35.4,
4.1595,-13.9988,1672.1,35.4,
4.1564,-13.9992,1711,35.4,
4.1534,-13.9996,1749.9,35.4,
4.1502,-14.0001,1788.8,35.4,
4.1471,-13.9993,1827.7,35.4,
4.144,-14.0005,1866.6,35.4,
4.1409,-13.9993,1905.5,35.4,
4.1378,-13.9994,1944.3,35.4,
4.1348,-13.9989,1983.2,35.4,
4.1317,-13.9994,2022.1,35.4,
4.1286,-13.9999,2061,35.4,
4.1255,-13.9988,2099.9,35.4,
4.1224,-13.9988,2138.8,35.4,
4.1193,-13.9993,2177.7,35.4,
4.1163,-13.9988,2216.6,35.4,
4.1132,-13.9994,2255.4,35.4,
4.1102,-13.9995,2294.3,35.4,
